作物,年份,1月價格,2月價格,3月價格,4月價格,5月價格,6月價格,7月價格,8月價格,9月價格,10月價格,11月價格,12月價格,
蘿蔔(元/公斤),2016,6.44,14.28,16.77,13.40,11.87,13.25,14.64,9.88,10,20.01,20,9.15,
白玉蘿蔔(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
胡蘿蔔(元/公斤),2016,16.63,15.63,15.36,18.17,20.08,23,24.23,24.53,25.50,38.67,37.83,27.67,
山藥(元/公斤),2016,40.50,40,40,40,-,-,-,-,50.83,52.83,43.83,41,
牛蒡(元/公斤),2016,-,-,27.67,26.33,-,-,-,-,-,-,-,-,
生薑(嫩薑)(元/公斤),2016,-,-,-,-,61.67,51,51.50,48,42.33,35.50,-,-,
生薑(老薑粉薑)(元/公斤),2016,42.17,52.01,45.89,36.38,33.63,28.33,43.33,52,43.33,43.33,40,35,
芋頭(元/公斤),2016,56.11,60.29,65,75.33,64,56.67,50,46.67,45,39.38,39.49,36.05,
綠竹筍(元/公斤),2016,-,-,-,124.50,126.30,75.68,88.97,71.53,60.47,89.33,-,-,
烏殼;綠竹筍(元/公斤),2016,-,-,-,47.33,34.67,26.67,26.67,26,25,55.67,-,-,
麻竹筍(元/公斤),2016,36.67,40,50,42.78,42.50,30.61,24.75,25.33,23.92,59.78,35,16,
桂竹筍(生筍)(元/公斤 ),2016,-,-,-,31.02,29.75,-,-,-,-,-,-,-,
轎篙筍(元/公斤),2016,-,-,-,-,32,32,-,-,-,-,-,-,
白蘆筍(元/公斤),2016,-,-,-,-,86.67,98.33,153.83,147,145.50,112.67,-,-,
綠蘆筍(元/公斤),2016,-,-,124.17,138.06,150.48,116.25,115.56,121.67,126.11,153.89,186.67,200,
茭白筍(帶殼)(元/公斤),2016,-,90,94,85,60.67,58.33,56.67,59,66.67,62,71.67,-,
大芥菜(鮮食)(元/公斤),2016,11.55,29.25,-,-,-,-,-,-,-,-,-,-,
馬鈴薯(食用)(元/公斤),2016,21.04,25.32,23.92,24.42,24.53,24.50,25.27,25.70,26.17,27.17,29,22.70,
加工麻竹筍(元/公斤),2016,-,-,-,-,-,20.22,14.17,11.32,11.64,-,-,-,
青蔥(元/公斤),,85.46,88.48,73.37,40.40,25.99,21.23,21.65,27.26,42.47,100.09,76.63,50.77,
青蔥(北蔥)(元/公斤),,-,-,-,-,-,-,-,-,-,-,-,-,
蔥頭(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
洋蔥(內銷)(元/公斤),,12.50,13,14.46,16.12,23.53,25,25,-,-,-,-,16,
洋蔥(外銷)(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
青蒜(元/公斤),2016,61.50,90.63,59.62,59.38,-,-,-,-,-,-,-,70.29,
蒜頭(蒜球)(元/公斤),2016,-,78,75.80,106.09,156.16,135.13,118.81,127.18,135.18,143.49,143.02,144.83,
荸薺(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
